External ID,Product_ID,Product_Name,Label_Product_Name,Presentation,Volume_Liters,Pack_quantity_Units,Type_of_product,Category,Generic product type,SubIndustry,Industry, Bottle , Label ,Liquid, Microfibers , Plastic bag , Labor , Shipping , Other costs , Unit_cost_SAR 
product_template_439,FP-FAI-00603,WAYAKIT GreenTech Faith hardwood and laminate floor cleaner [Box of 12 units 700 mL],hardwood and laminate floor cleaner,Box of 12 units 700 mL,8.4,0.0,I2-Hardwood and laminate floor cleaner,Faith - 2. Floor care products,Floor cleaner,Faith,Facilities management,18,14.52,93.3534,0,0,12,,,137.8734
product_template_307,FP-FAI-00800,WAYAKIT GreenTech Faith high performance carpet shampoo [700 mL],high performance carpet shampoo,700 mL,0.7,0.0,I3-High performance carpet shampoo,Faith - 3. Carpet and rug cleaners,Carpet shampoo,Faith,Facilities management,1.5,1.21,4.8636,0,0,1,,,8.5736
product_template_308,FP-FAI-00801,WAYAKIT GreenTech Faith high performance carpet shampoo [4 L],high performance carpet shampoo,4 L,4.0,0.0,I3-High performance carpet shampoo,Faith - 3. Carpet and rug cleaners,Carpet shampoo,Faith,Facilities management,4,4.84,27.792,0,0,1,,,37.632
product_template_309,FP-FAI-00802,WAYAKIT GreenTech Faith high performance carpet shampoo [20 L],high performance carpet shampoo,20 L,20.0,0.0,I3-High performance carpet shampoo,Faith - 3. Carpet and rug cleaners,Carpet shampoo,Faith,Facilities management,8,4.84,138.96,0,0,1,,,152.8
product_template_441,FP-FAI-00803,WAYAKIT GreenTech Faith high performance carpet shampoo [Box of 12 units 700 mL],high performance carpet shampoo,Box of 12 units 700 mL,8.4,0.0,I3-High performance carpet shampoo,Faith - 3. Carpet and rug cleaners,Carpet shampoo,Faith,Facilities management,18,14.52,58.3632,0,0,12,,,102.8832
product_template_310,FP-FAI-00900,WAYAKIT GreenTech Faith stain spot remover [700 mL],stain spot remover,700 mL,0.7,0.0,I3-Stain spot remover,Faith - 3. Carpet and rug cleaners,Stain remover,Faith,Facilities management,1.5,1.21,8.511384,0,0,1,,,12.221384
product_template_311,FP-FAI-00901,WAYAKIT GreenTech Faith stain spot remover [4 L],stain spot remover,4 L,4.0,0.0,I3-Stain spot remover,Faith - 3. Carpet and rug cleaners,Stain remover,Faith,Facilities management,4,4.84,48.63648,0,0,1,,,58.47648
product_template_312,FP-FAI-00902,WAYAKIT GreenTech Faith stain spot remover [20 L],stain spot remover,20 L,20.0,0.0,I3-Stain spot remover,Faith - 3. Carpet and rug cleaners,Stain remover,Faith,Facilities management,8,4.84,243.1824,0,0,1,,,257.0224
product_template_442,FP-FAI-00903,WAYAKIT GreenTech Faith stain spot remover [Box of 12 units 700 mL],stain spot remover,Box of 12 units 700 mL,8.4,0.0,I3-Stain spot remover,Faith - 3. Carpet and rug cleaners,Stain remover,Faith,Facilities management,18,14.52,102.136608,0,0,12,,,146.656608
product_template_313,FP-FAI-01000,WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [700 mL],broad-spectrum cleaner and disinfectant for surfaces,700 mL,0.7,0.0,"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",Faith - 4. Disinfectants and sanitizers,Disinfectant and cleaner,Faith,Facilities management,1.5,1.21,0.931,0,0,1,,,4.641
